内容,分词,分词文本,情感标签,情感置信度
别说人开发的东西了，人都自己都不知道自己，生从何处，死去何方，宇宙本体论都还没搞明白。,"['开发', '东西', '知道', '生从', '死去', '何方', '宇宙', '本体论', '都还没', '明白']",开发 东西 知道 生从 死去 何方 宇宙 本体论 都还没 明白,negative,0.5280876755714417
最终的AI在想什么，干什么，人类已经无法理解！,"['最终', 'AI', '干什么', '人类', '已经', '无法', '理解']",最终 AI 干什么 人类 已经 无法 理解,positive,0.8861755728721619
弹幕护体,"['弹幕', '护体']",弹幕 护体,positive,0.8632726669311523
我已经用上AI规划人生了,"['已经', 'AI', '规划', '人生']",已经 AI 规划 人生,positive,0.9666791558265686
点就是加几层相同颜色的外圈吧  很简单啊,"['几层', '相同', '颜色', '外圈', '简单']",几层 相同 颜色 外圈 简单,positive,0.743137001991272
但是这没有人类的感性,"['没有', '人类', '感性']",没有 人类 感性,positive,0.9265760779380798
有点过度乐观了，2025年中过来看，边际效应已经非常明显了,"['有点', '过度', '乐观', '过来', '边际效应', '已经', '非常明显']",有点 过度 乐观 过来 边际效应 已经 非常明显,positive,0.9862980842590332
3b1b!,['3b1b'],3b1b,positive,0.7927814722061157
合体！！！,['合体'],合体,positive,0.9459218382835388
还有一种是量子计算吧,"['一种', '量子', '计算']",一种 量子 计算,positive,0.8469613194465637
还有哥德尔不完备性,"['哥德尔', '完备']",哥德尔 完备,negative,0.5341064929962158
deepseek2025年才出的,['deepseek2025'],deepseek2025,positive,0.6828945279121399
技术人狂喜,"['技术', '狂喜']",技术 狂喜,positive,0.9784389138221741
离散数学吗那不是,"['离散数学', '不是']",离散数学 不是,negative,0.7660688161849976
if判断,"['if', '判断']",if 判断,positive,0.5129092931747437
打破地球自然规律规则，那就是毁灭,"['打破', '地球', '自然规律', '规则', '毁灭']",打破 地球 自然规律 规则 毁灭,positive,0.9381083250045776
吹牛最厉害了,"['吹牛', '厉害']",吹牛 厉害,negative,0.9657928347587585
初中数学题都解答不了，呵呵,"['初中', '数学题', '解答', '不了', '呵呵']",初中 数学题 解答 不了 呵呵,negative,0.7308950424194336
Deep seek属于大杂烩那种的,"['Deep', 'seek', '属于', '大杂烩', '那种']",Deep seek 属于 大杂烩 那种,positive,0.8630455136299133
风暴前夜,"['风暴', '前夜']",风暴 前夜,positive,0.8893357515335083
我们现在可以透过黑箱来看神经网络是怎么工作的了吗,"['现在', '透过', '黑箱', '来看', '神经网络', '工作']",现在 透过 黑箱 来看 神经网络 工作,negative,0.5072392821311951
哪有什么规则和套路，融会贯通后只是感觉就够了。,"['哪有什么', '规则', '套路', '融会贯通', '感觉', '就够']",哪有什么 规则 套路 融会贯通 感觉 就够,negative,0.5150620341300964
听下来还是觉得彭罗斯的一句话更有道理，意识不管是什么，肯定不是计算,"['下来', '觉得', '罗斯', '一句', '道理', '意识', '肯定', '不是', '计算']",下来 觉得 罗斯 一句 道理 意识 肯定 不是 计算,positive,0.9472728371620178
ai可以让我们理解是怎么产生意识的，以及机制是什么？,"['ai', '理解', '产生', '意识', '机制']",ai 理解 产生 意识 机制,positive,0.9768387675285339
人类才是最强电脑！,"['人类', '最强', '电脑']",人类 最强 电脑,positive,0.9806920289993286
我比ai强大多了！ai有我智能吗？,"['ai', '强大', 'ai', '智能']",ai 强大 ai 智能,positive,0.9078619480133057
不用羡慕，你比ai强多了！,"['不用', '羡慕', 'ai', '强多']",不用 羡慕 ai 强多,positive,0.9251566529273987
人是一台最强的量子电脑！,"['一台', '最强', '量子', '电脑']",一台 最强 量子 电脑,positive,0.9882174134254456
它对于我提升生物电脑，神经网络很有帮助,"['提升', '生物', '电脑', '神经网络', '帮助']",提升 生物 电脑 神经网络 帮助,positive,0.9914829134941101
o1就是strawberry,"['o1', 'strawberry']",o1 strawberry,negative,0.5994558930397034
前面的，deepseek已经出现了,"['前面', 'deepseek', '已经', '出现']",前面 deepseek 已经 出现,negative,0.6091232895851135
2025/2026不至于吧,['不至于'],不至于,negative,0.768396258354187
前面说没有deepseek的，你看看up视频发布时间,"['前面', '没有', 'deepseek', '看看', 'up', '视频', '发布', '时间']",前面 没有 deepseek 看看 up 视频 发布 时间,positive,0.5550933480262756
鸡皮疙瘩起来了,"['鸡皮疙瘩', '起来']",鸡皮疙瘩 起来,negative,0.9051834344863892
突然顿悟，大模型原来是堆积海量参数的大,"['突然', '顿悟', '模型', '原来', '堆积', '海量', '参数']",突然 顿悟 模型 原来 堆积 海量 参数,positive,0.9335045218467712
你们国家有人想出了远超当前任何模型的智能框架，给中科院成都分院、四川省科技厅打电话，没卵人家,"['国家', '有人', '想出', '远超', '当前', '模型', '智能', '框架', '中科院', '成都', '分院', '四川省', '科技厅', '打电话', '没卵']",国家 有人 想出 远超 当前 模型 智能 框架 中科院 成都 分院 四川省 科技厅 打电话 没卵,negative,0.8589301109313965
这里的大脑是否特指人脑,"['大脑', '是否', '特指', '人脑']",大脑 是否 特指 人脑,positive,0.9425705075263977
人为什么要造人，为什么不造神呢？因为人类意识不到自己形态之上的东西。,"['要造', '不造', '人类', '意识', '不到', '形态', '之上', '东西']",要造 不造 人类 意识 不到 形态 之上 东西,positive,0.9488312005996704
新高考了解一下,"['高考', '了解', '一下']",高考 了解 一下,positive,0.9916003942489624
那个数学测试openai作弊了,"['数学', '测试', 'openai', '作弊']",数学 测试 openai 作弊,negative,0.5408114790916443
ai 没有野心,"['ai', '没有', '野心']",ai 没有 野心,negative,0.6010686755180359
基于神经网络开发，又因为量变产生了各方面处理能力，而就是没有意识，是这个意思吗,"['基于', '神经网络', '开发', '量变', '产生', '方面', '处理', '能力', '没有', '意识', '意思']",基于 神经网络 开发 量变 产生 方面 处理 能力 没有 意识 意思,negative,0.5294625163078308
AI可不是靠底层代码哦，是靠函数计算。,"['AI', '可不是', '底层', '代码', '函数', '计算']",AI 可不是 底层 代码 函数 计算,positive,0.6195858120918274
曹中兴实名观看,"['中兴', '实名', '观看']",中兴 实名 观看,positive,0.9879950881004333
人会抽象,"['人会', '抽象']",人会 抽象,positive,0.5353651642799377
发展的必然型，羰基生物就是硅基生物的开启钥匙,"['发展', '必然', '羰基', '生物', '硅基', '生物', '开启', '钥匙']",发展 必然 羰基 生物 硅基 生物 开启 钥匙,positive,0.988784909248352
欧阳凯峰实名观看,"['欧阳', '凯峰', '实名', '观看']",欧阳 凯峰 实名 观看,positive,0.9799920916557312
人类难道非得知道火是什么才能使用火吗？,"['人类', '难道', '非得', '知道', '火是', '才能', '使用']",人类 难道 非得 知道 火是 才能 使用,positive,0.8689441680908203
ai现在就会担忧停电，哪怕是弱人工智能也能够推理出电对其运行的决定因素，如果让它们维系自己，那么它们就会避免停电。而真正的问题是，为什么它们要害怕停电？为什么它们要维系自己？,"['ai', '现在', '担忧', '停电', '人工智能', '能够', '推理', '出电', '运行', '决定', '因素', '维系', '避免', '停电', '真正', '问题', '害怕', '停电', '维系']",ai 现在 担忧 停电 人工智能 能够 推理 出电 运行 决定 因素 维系 避免 停电 真正 问题 害怕 停电 维系,positive,0.9765617847442627
其实是在ai那里，没有时间，存在于它无关,"['其实', 'ai', '没有', '时间', '存在', '无关']",其实 ai 没有 时间 存在 无关,positive,0.887726902961731
ai.不过是人类科技低下的产物。,"['ai', '人类', '科技', '低下', '产物']",ai 人类 科技 低下 产物,positive,0.7083693742752075
DEEPSEEK,['DEEPSEEK'],DEEPSEEK,positive,0.8585320115089417
汤姆里德尔的笔记,"['汤姆', '里德尔', '笔记']",汤姆 里德尔 笔记,positive,0.9919251799583435
越分越细，越细越合理，越合理，越规则，越规则，越违背，越违背越创造,"['越分', '越细', '越细越', '合理', '合理', '规则', '规则', '违背', '违背', '创造']",越分 越细 越细越 合理 合理 规则 规则 违背 违背 创造,positive,0.8988875150680542
数学！！！！！,['数学'],数学,negative,0.7927207946777344
哇塞！厉害厉害！,"['哇塞', '厉害', '厉害']",哇塞 厉害 厉害,positive,0.9327706694602966
哇靠！牛逼,[],,positive,0.9223505854606628
yes!,['yes'],yes,positive,0.955142080783844
哇塞！科学家们！大家都这么想的吗？那编写在一本书里的目的是什么？指导人类更好的生存吗？,"['哇塞', '科学家', '大家', '编写', '本书', '目的', '指导', '人类', '更好', '生存']",哇塞 科学家 大家 编写 本书 目的 指导 人类 更好 生存,positive,0.8203949928283691
绝不可能,"['绝不', '可能']",绝不 可能,negative,0.8563656210899353
对于你体内的某个神经细胞来说你的意识就是神,"['体内', '神经细胞', '来说', '意识']",体内 神经细胞 来说 意识,positive,0.9802128672599792
人的大脑或许就是,"['大脑', '或许']",大脑 或许,positive,0.9371199011802673
做这个视频的时候deepseek还没有火呢,"['视频', 'deepseek', '没有']",视频 deepseek 没有,positive,0.8842450976371765
模糊集合,"['模糊', '集合']",模糊 集合,negative,0.9295215010643005
机器智能,"['机器', '智能']",机器 智能,positive,0.968489408493042
辛泽豪到此一游,"['辛泽豪', '到此一游']",辛泽豪 到此一游,positive,0.8759295344352722
实践-认知-实践-⋯⋯,"['实践', '认知', '实践']",实践 认知 实践,positive,0.911618709564209
嗨，22法11,[],,positive,0.6093547344207764
当AI具有五感时，便成为人造人,"['AI', '具有', '五感', '成为', '人造']",AI 具有 五感 成为 人造,positive,0.9109915494918823
预言出来deep seek了,"['预言', '出来', 'deep', 'seek']",预言 出来 deep seek,positive,0.9502295255661011
下棋用得多，考虑几步之后的效果,"['下棋', '考虑', '几步', '之后', '效果']",下棋 考虑 几步 之后 效果,positive,0.98944491147995
Deepseek 的深度思考,"['Deepseek', '深度', '思考']",Deepseek 深度 思考,positive,0.9901204109191895
基于物质堆砌的不是智能！基于物质而能超越四维空间的才是智能！也就是说能超越当前纬度的才是智能！,"['基于', '物质', '堆砌', '不是', '智能', '基于', '物质', '而能', '超越', '四维空间', '智能', '超越', '当前', '纬度', '智能']",基于 物质 堆砌 不是 智能 基于 物质 而能 超越 四维空间 智能 超越 当前 纬度 智能,negative,0.5976600050926208
Z地方规划局快乐；’的非常非常VR非常广泛打撒这咋ASDFGHJKL;',"['地方', '规划局', '快乐', '非常', '非常', 'VR', '非常', '广泛', '打撒', 'ASDFGHJKL']",地方 规划局 快乐 非常 非常 VR 非常 广泛 打撒 ASDFGHJKL,positive,0.6104342937469482
所以重复性工作，并非无用，而是恰恰符合人类学习习惯,"['重复性', '工作', '并非', '无用', '恰恰', '符合', '人类', '学习', '习惯']",重复性 工作 并非 无用 恰恰 符合 人类 学习 习惯,positive,0.9647755026817322
阿里通宵研究开源,"['阿里', '通宵', '研究', '开源']",阿里 通宵 研究 开源,positive,0.986260712146759
开源制造者,"['开源', '制造者']",开源 制造者,positive,0.9348296523094177
这应该说是最纯粹的计算方法比较好吧,"['应该', '纯粹', '计算方法', '比较']",应该 纯粹 计算方法 比较,positive,0.9642273187637329
“终端处理器”,"['终端', '处理器']",终端 处理器,positive,0.9003922343254089
又在上课,['上课'],上课,positive,0.8065693378448486
还得上学,['上学'],上学,positive,0.5797378420829773
哈哈哈哈哈哈哈哈哈,"['哈哈哈', '哈哈哈', '哈哈哈']",哈哈哈 哈哈哈 哈哈哈,positive,0.8088361024856567
每一部看过的科幻片都是真的,"['一部', '看过', '科幻片', '真的']",一部 看过 科幻片 真的,positive,0.9906703233718872
诶那抄答案就容易了,"['答案', '容易']",答案 容易,positive,0.5517542958259583
那孙悟空是不是真的？石头有智能,"['孙悟空', '是不是', '真的', '石头', '智能']",孙悟空 是不是 真的 石头 智能,positive,0.5844683647155762
植物人也,['植物'],植物,positive,0.9440549612045288
ai要“活”过，才能“活”,"['ai', '才能']",ai 才能,positive,0.771350085735321
那辩证法呢,['辩证法'],辩证法,negative,0.7469915747642517
wok那要是用在量子计算机,"['wok', '量子', '计算机']",wok 量子 计算机,positive,0.5775721073150635
识别错误，up不够智能,"['识别', '错误', 'up', '不够', '智能']",识别 错误 up 不够 智能,negative,0.8196489810943604
